Transaction_Number,Error_Type,Amount,Layer1_Classification,ML_Probability,Threshold_Used,Distance_From_Threshold,Reason
89479,False Positive,0.89,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 5 >= 5
263658,False Positive,1.98,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V1: 7.86 > 6
153213,False Positive,98.7,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V21: 6.08 > 6
97123,False Positive,6.16,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 5 >= 5
155454,False Positive,99.99,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V10: 6.26 > 6
184693,False Positive,0.77,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V8: 6.43 > 6
165107,False Positive,2669.14,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V5: 6.50 > 6
91218,False Positive,94.52,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V8: 7.27 > 6
97306,False Positive,39.99,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V8: 6.77 > 6
144684,False Positive,0.99,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 5 >= 5
186507,False Positive,2159.5,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 5 >= 5
155032,False Positive,10.22,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 5 >= 5
112967,False Positive,5.2,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 5 >= 5
215849,False Positive,1.46,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V10: 9.24 > 6
102641,False Positive,44.18,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V8: 7.14 > 6
17030,False Positive,89.99,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V14: 6.54 > 6
226087,False Positive,44.6,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V8: 11.90 > 6
217854,False Positive,100.0,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 5 >= 5
136737,False Positive,117.02,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V2: 6.18 > 6
25612,False Positive,2831.4,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V20: 7.44 > 6
42724,False Positive,35.0,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V23: 10.39 > 6
188256,False Positive,37.5,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V2: 7.00 > 6
127005,False Positive,2.0,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V23: 6.62 > 6
246273,False Positive,664.51,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V2: 8.79 > 6
154812,False Positive,0.78,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V21: 6.62 > 6
4895,False Positive,0.77,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V9: 8.51 > 6
69648,False Positive,99.99,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V1: 6.31 > 6
231889,False Positive,99.0,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 6 >= 5
284085,False Positive,0.0,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 5 >= 5
27361,False Positive,17.67,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V8: 7.42 > 6
7485,False Positive,1895.88,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V8: 7.67 > 6
245737,False Positive,14.3,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 5 >= 5
178053,False Positive,152.65,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 9 >= 5
24337,False Positive,2163.25,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V2: 10.17 > 6
111881,False Positive,426.0,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V1: 7.70 > 6
18818,False Positive,14.99,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 5 >= 5
94744,False Positive,10.99,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V8: 6.15 > 6
82035,False Positive,26.85,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 5 >= 5
277064,False Positive,0.89,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V10: 7.10 > 6
206119,False Positive,1.18,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V23: 6.44 > 6
284154,False Positive,1088.04,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 6 >= 5
18567,False Positive,12.89,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V8: 8.46 > 6
227435,False Positive,93.78,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V2: 7.30 > 6
204013,False Positive,26.8,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V20: 6.99 > 6
68830,False Positive,1.98,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V1: 6.01 > 6
47299,False Positive,5114.1,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V1: 6.21 > 6
11681,False Positive,89.99,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V14: 6.06 > 6
46841,False Positive,12910.93,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V1: 12.25 > 6
165789,False Positive,384.5,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 7 >= 5
129477,False Positive,0.77,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V10: 9.23 > 6
163280,False Positive,1.98,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V8: 6.93 > 6
239732,False Positive,82.29,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 5 >= 5
104224,False Positive,11.53,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V27: 10.49 > 6
46531,False Positive,3.92,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V8: 6.26 > 6
231807,False Positive,0.77,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V10: 7.71 > 6
159301,False Positive,7.58,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V21: 6.94 > 6
5119,False Positive,44.93,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V27: 9.61 > 6
162155,False Positive,1800.0,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 5 >= 5
250674,False Positive,946.92,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 6 >= 5
180582,False Positive,414.98,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V28: 6.81 > 6
24768,False Positive,1.0,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 10 >= 5
177168,False Positive,402.6,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V1: 8.83 > 6
191887,False Positive,93.68,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 5 >= 5
189171,False Positive,172.0,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 5 >= 5
258569,False Positive,360.0,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V23: 7.43 > 6
140478,False Positive,149.99,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V27: 11.07 > 6
262566,False Positive,2.39,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 5 >= 5
240240,False Positive,46.0,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V2: 6.94 > 6
98675,False Positive,3307.14,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V1: 13.02 > 6
239268,False Positive,47.43,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V2: 6.68 > 6
226342,False Positive,139.98,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 5 >= 5
271773,False Positive,1783.26,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V1: 6.43 > 6
16593,False Positive,11.0,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 5 >= 5
136552,False Positive,40.77,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V26: 6.46 > 6
232662,False Positive,0.77,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V10: 8.67 > 6
272005,False Positive,2.49,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 8 >= 5
217547,False Positive,1887.39,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 5 >= 5
272942,False Positive,300.0,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V23: 7.30 > 6
284249,False Positive,10199.44,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V2: 6.76 > 6
204269,False Positive,292.32,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V8: 7.83 > 6
46596,False Positive,235.25,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 6 >= 5
76512,False Positive,2.0,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V23: 6.72 > 6
228437,False Positive,1137.84,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 7 >= 5
71952,False Positive,1469.02,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 5 >= 5
72255,False Positive,177.43,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V28: 12.92 > 6
162999,False Positive,0.93,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 5 >= 5
19630,False Positive,89.99,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V1: 6.46 > 6
169080,False Positive,39.5,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 6 >= 5
123284,False Positive,2.0,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V23: 14.01 > 6
64526,False Positive,7.6,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 7 >= 5
133756,False Positive,857.27,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 6 >= 5
114836,False Positive,15.22,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 5 >= 5
189096,False Positive,1102.37,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 6 >= 5
134412,False Positive,1.79,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V10: 6.01 > 6
248513,False Positive,1404.75,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V23: 13.78 > 6
147117,False Positive,0.77,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V9: 6.39 > 6
232306,False Positive,1.12,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 6 >= 5
173759,False Positive,0.89,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V10: 6.09 > 6
234489,False Positive,1.0,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V23: 11.79 > 6
116292,False Positive,11.53,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V10: 9.75 > 6
69894,False Positive,30.0,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V10: 8.22 > 6
213774,False Positive,83.16,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V8: 6.14 > 6
188955,False Positive,157.77,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 5 >= 5
51344,False Positive,89.99,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 6 >= 5
167260,False Positive,2541.8,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V5: 7.62 > 6
228302,False Positive,0.9,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V27: 6.28 > 6
164045,False Positive,39.45,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 5 >= 5
7580,False Positive,3.91,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 7 >= 5
23807,False Positive,89.99,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 8 >= 5
158180,False Positive,0.89,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 5 >= 5
86102,False Positive,0.89,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V8: 11.15 > 6
244564,False Positive,508.39,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V1: 6.03 > 6
207782,False Positive,239.75,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V28: 10.04 > 6
235457,False Positive,4041.2,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V2: 7.63 > 6
48974,False Positive,1748.7,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V7: 8.17 > 6
44477,False Positive,9.51,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V9: 7.32 > 6
111867,False Positive,1564.82,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V23: 10.81 > 6
275094,False Positive,2.69,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V10: 8.37 > 6
82244,False Positive,7.64,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V9: 6.24 > 6
227512,False Positive,1.0,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V10: 6.32 > 6
163428,False Positive,110.9,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 6 >= 5
76642,False Positive,22.5,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 7 >= 5
82479,False Positive,0.77,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 7 >= 5
207221,False Positive,28.94,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 6 >= 5
204443,False Positive,4190.0,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V2: 8.05 > 6
27622,False Positive,28.79,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V21: 7.38 > 6
46424,False Positive,65.0,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V23: 7.87 > 6
72451,False Positive,90.0,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V2: 6.89 > 6
148834,False Positive,15.21,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 5 >= 5
41033,False Positive,2467.72,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 6 >= 5
177014,False Positive,28.9,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V21: 6.69 > 6
168740,False Positive,73.3,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V21: 8.08 > 6
41277,False Positive,18.27,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V8: 6.21 > 6
21712,False Positive,89.99,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V3: 7.52 > 6
91136,False Positive,0.01,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V27: 8.06 > 6
190105,False Positive,56.3,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V8: 6.79 > 6
183060,False Positive,2546.63,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V20: 6.44 > 6
238152,False Positive,729.78,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V27: 6.30 > 6
226614,False Positive,13.83,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V8: 6.74 > 6
86893,False Positive,60.0,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 6 >= 5
213046,False Positive,656.12,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V23: 6.32 > 6
76705,False Positive,950.79,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V1: 11.46 > 6
8464,False Positive,1.0,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V14: 6.51 > 6
248764,False Positive,39.22,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V2: 7.56 > 6
48004,False Positive,1.0,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 5 >= 5
251191,False Positive,2142.84,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V2: 7.40 > 6
223435,False Positive,342.0,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V21: 8.84 > 6
151830,False Positive,5.47,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 5 >= 5
14458,False Positive,201.6,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V20: 7.74 > 6
55311,False Positive,1.5,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V1: 6.18 > 6
23136,False Positive,3.68,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V7: 12.49 > 6
216391,False Positive,0.92,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V10: 6.26 > 6
177395,False Positive,30.0,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V10: 6.16 > 6
112760,False Positive,316.25,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V28: 6.01 > 6
282056,False Positive,500.0,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V28: 14.12 > 6
257963,False Positive,0.46,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V10: 10.73 > 6
49795,False Positive,102.08,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V10: 6.36 > 6
178214,False Positive,1364.69,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V23: 6.18 > 6
280762,False Positive,9.77,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V27: 15.16 > 6
270482,False Positive,21.63,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 9 >= 5
63042,False Positive,1404.96,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V2: 6.42 > 6
243500,False Positive,17.13,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 9 >= 5
111052,False Positive,12.31,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V8: 8.97 > 6
23876,False Positive,99.99,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V1: 7.94 > 6
181646,False Positive,28.75,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V23: 7.11 > 6
72761,False Positive,178.63,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V10: 8.20 > 6
266982,False Positive,38.16,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 8 >= 5
96193,False Positive,1239.84,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V6: 6.64 > 6
95073,False Positive,7.68,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 8 >= 5
15168,False Positive,8.94,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V5: 11.85 > 6
275653,False Positive,10.0,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 5 >= 5
97683,False Positive,1.98,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V8: 8.58 > 6
45683,False Positive,1.0,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 5 >= 5
123568,False Positive,16.0,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V8: 6.18 > 6
239578,False Positive,10.59,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 6 >= 5
228429,False Positive,7.57,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V27: 6.88 > 6
34674,False Positive,274.0,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 5 >= 5
204922,False Positive,606.33,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 5 >= 5
277737,False Positive,1.0,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V17: 7.76 > 6
180923,False Positive,5.37,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V8: 6.09 > 6
77995,False Positive,20.0,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V20: 7.47 > 6
91780,False Positive,199.5,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 6 >= 5
225113,False Positive,758.58,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 5 >= 5
155705,False Positive,500.0,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V28: 7.13 > 6
113094,False Positive,20.0,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V10: 7.21 > 6
160221,False Positive,1.98,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V8: 6.58 > 6
149511,False Positive,11.0,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V21: 6.02 > 6
60526,False Positive,255.73,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 5 >= 5
219953,False Positive,0.77,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V14: 8.16 > 6
190501,False Positive,35.46,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V8: 6.04 > 6
80058,False Positive,40.0,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V23: 6.00 > 6
38243,False Positive,71.38,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V27: 6.60 > 6
256196,False Positive,2162.78,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V5: 8.99 > 6
113740,False Positive,0.79,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V10: 8.10 > 6
77397,False Positive,30.32,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V10: 8.06 > 6
191802,False Positive,0.92,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V27: 6.96 > 6
109909,False Positive,291.0,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 5 >= 5
166191,False Positive,316.52,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V8: 6.77 > 6
62006,False Positive,12.28,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 5 >= 5
7486,False Positive,792.91,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 5 >= 5
22932,False Positive,650.2,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V1: 11.14 > 6
241143,False Positive,1000.0,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V23: 6.33 > 6
103608,False Positive,1.0,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V8: 6.51 > 6
201775,False Positive,1402.38,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V1: 15.48 > 6
36747,False Positive,84.0,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V27: 6.71 > 6
258039,False Positive,800.93,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V8: 12.30 > 6
159488,False Positive,7.7,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V10: 8.62 > 6
45036,False Positive,1563.21,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 5 >= 5
96143,False Positive,0.89,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 5 >= 5
18523,False Positive,6.64,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V8: 8.83 > 6
283603,False Positive,4.79,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V10: 6.47 > 6
43424,False Positive,2302.38,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V7: 6.52 > 6
15393,False Positive,1.79,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V10: 6.01 > 6
74403,False Positive,220.87,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V1: 7.33 > 6
211238,False Positive,219.98,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V8: 10.02 > 6
140654,False Positive,50.0,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V10: 6.26 > 6
276299,False Positive,0.12,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V8: 8.70 > 6
27937,False Positive,834.6,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 5 >= 5
172250,False Positive,2500.0,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V5: 7.33 > 6
256553,False Positive,57.5,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V5: 6.60 > 6
187615,False Positive,5.99,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V8: 6.36 > 6
228279,False Positive,7.76,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V27: 15.17 > 6
224912,False Positive,8.62,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V5: 6.50 > 6
280334,False Positive,0.99,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V10: 6.32 > 6
229546,False Positive,0.76,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 11 >= 5
217520,False Positive,30.03,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V8: 8.29 > 6
281977,False Positive,9.99,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V8: 6.43 > 6
21726,False Positive,1.98,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 5 >= 5
93174,False Positive,22.55,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 5 >= 5
139903,False Positive,1.09,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V8: 6.44 > 6
40318,False Positive,240.0,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V20: 8.10 > 6
176917,False Positive,52.28,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 7 >= 5
228310,False Positive,1413.35,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 6 >= 5
243175,False Positive,7.7,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 9 >= 5
263383,False Positive,0.76,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 5 >= 5
255069,False Positive,2.39,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 6 >= 5
22405,False Positive,1.0,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 7 >= 5
146723,False Positive,0.9,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 6 >= 5
179165,False Positive,152.65,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V1: 7.32 > 6
36425,False Positive,263.32,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 6 >= 5
80612,False Positive,59.5,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V23: 6.14 > 6
163653,False Positive,155.0,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 6 >= 5
85525,False Positive,1.0,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 6 >= 5
57782,False Positive,293.35,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V8: 7.90 > 6
135573,False Positive,2539.25,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V20: 6.44 > 6
259275,False Positive,2199.28,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V7: 6.66 > 6
70034,False Positive,164.03,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V1: 10.41 > 6
254074,False Positive,2871.16,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V20: 7.25 > 6
192010,False Positive,119.0,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 6 >= 5
46529,False Positive,89.99,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V3: 6.59 > 6
53796,False Positive,489.75,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V28: 12.48 > 6
39041,False Positive,8.95,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V9: 6.13 > 6
63551,False Positive,37.16,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V5: 10.49 > 6
271126,False Positive,9.84,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V10: 7.72 > 6
154792,False Positive,1.0,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V21: 6.54 > 6
140731,False Positive,1.0,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V5: 6.63 > 6
144095,False Positive,0.89,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V2: 6.62 > 6
13496,False Positive,8.96,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V10: 6.22 > 6
204645,False Positive,292.64,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V10: 10.20 > 6
278837,False Positive,2.09,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 5 >= 5
61380,False Positive,4.78,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 8 >= 5
57153,False Positive,89.99,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 6 >= 5
266105,False Positive,2723.04,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V1: 7.03 > 6
81406,False Positive,52.0,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 8 >= 5
172667,False Positive,153.0,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 9 >= 5
725,False Positive,41.96,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V21: 7.20 > 6
261459,False Positive,18.91,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V8: 7.31 > 6
225678,False Positive,2.99,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V8: 10.70 > 6
94594,False Positive,34.27,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V9: 7.28 > 6
157481,False Positive,19.51,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V21: 8.39 > 6
262839,False Positive,1441.06,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V1: 16.52 > 6
192746,False Positive,1605.0,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V7: 6.00 > 6
71047,False Positive,60.0,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 7 >= 5
108226,False Positive,194.53,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 12 >= 5
